iso3,country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
CAN,Canada,37906.8601321366,38200.456120621,38921.6673033743,39270.0234577749,40108.7587456658,41006.2229523971,41663.5123057295,42106.8724378248,42067.5687072607,40376.4153847836,41164.3399119626,42043.6419795513,42320.6431330726,42851.170527104,43643.2356440047,43594.1941045394,43551.3425975115,44339.3886689254,44907.3436912123,45100.2915069262,42366.1285377884
CEB,Central Europe and the Baltics,7450.86082262,7730.94875575432,8057.22231935461,8405.63159028509,8923.85904704259,9387.59188976247,10036.4787965852,10712.5543317673,11176.9879548804,10792.8296963649,10998.6534832885,11421.7332703753,11544.5427262519,11661.9769238564,12076.1572564969,12596.8862547468,12991.54601565,13696.463585633,14411.9811999448,15024.0127296269,14621.1363727276
CHE,Switzerland,73749.9389517966,74439.4637644735,73824.3849167809,73254.9529864219,74718.6836260364,76282.9840696619,78893.8078199046,81254.1701015272,82481.0680560935,79585.5216989959,81315.4228307049,81874.3362425008,81964.8864937809,82479.9215677304,83394.3712888211,83806.4476003837,84611.0998672721,84967.5886498224,86756.6022327472,87123.6604234257,84637.0132935333
CHI,Channel Islands,,,,,,,,,,67617.8205403696,64722.9832990297,65006.4871287216,60861.9006460501,60780.669022098,61892.8083445708,61847.8212238857,62434.1859444218,63393.3938698644,63859.9826096615,64594.5213908684,58636.7036143365
CHL,Chile,8465.35303258864,8632.0148244056,8810.69052712257,9130.7842621819,9642.37478651228,10104.4208391373,10611.6144012877,11051.3450717678,11356.0922105983,11116.4093443103,11649.2897090856,12252.8441074615,12882.834417927,13182.7329619856,13285.9540361192,13433.9202987032,13505.097711133,13473.3458532934,13763.0068844795,13630.5935435578,12679.024004022
CHN,China,2237.44298500334,2405.89396743215,2610.72960252379,2857.0373538115,3127.86276523632,3465.81734409951,3883.35412942474,4409.75700836878,4811.47471804961,5237.76666540352,5764.86534987407,6275.90956436258,6723.19443752823,7198.06876478162,7686.57792954381,8175.33285077393,8679.37704460133,9221.51403820573,9798.6528523316,10356.4804194995,10573.6420059282
CIV,Cote d'Ivoire,1717.95385651231,1636.57318705218,1551.27925902838,1441.58801755037,1451.86547141894,1431.73320203111,1437.77453798586,1420.1738958245,1454.62731800082,1473.9183699329,1540.52927270246,1426.46463864534,1503.43433046682,1632.32712787006,1742.53693001178,1814.71855088017,1889.27777949938,1972.81431788947,2013.32307598499,2093.09994335779,2055.08483996432
CMR,Cameroon,1151.27689302947,1169.92670464984,1189.96707897027,1221.09446141454,1271.74326874167,1264.74345218659,1277.32990712342,1295.73067471287,1295.02211276052,1290.89961351149,1290.9013745759,1297.3064962694,1319.66961634054,1347.2130636706,1381.81938454907,1415.00009710569,1435.61830727839,1444.90682916573,1461.01969999317,1470.31785276187,1434.51913723409
COD,"Congo, Dem. Rep.",339.52682222392,322.033920024307,321.547848190451,329.709536540469,341.714925751419,351.708486411683,358.454382275579,377.437143095814,393.331182464822,383.515898271062,400.619567973092,417.130434045991,438.406058243633,464.526715460494,481.830241883776,495.826633014883,480.461377880475,482.854682128541,495.312105711027,482.524295129472,470.852950000929
COG,"Congo, Rep.",2057.01922023551,2056.16505922617,2100.16876714574,2058.88683675038,2058.88402946896,2140.03686200251,2226.0233547376,2004.10103961966,2061.55829880574,2211.31572382028,2332.28508055953,2307.49384399715,2467.06102906839,2390.65754938662,2488.68118548992,2439.35189403696,2174.19310251224,2003.27121075187,1909.9560382117,1885.51080877731,1725.51040049963
